Mineral,Stage,Country,Year,Value_kt
Nickel,Mining,Canada,2024,118
Nickel,Mining,Canada,2030,147
Nickel,Mining,Canada,2035,92
Nickel,Mining,Canada,2040,52
Nickel,Refining,Russia,2024,126
Nickel,Refining,Russia,2030,142.3
Nickel,Refining,Russia,2035,142.3
Nickel,Refining,Russia,2040,142.3
Nickel,Mining,Australia,2024,100
Nickel,Mining,Australia,2030,40
Nickel,Mining,Australia,2035,40
Nickel,Mining,Australia,2040,40
Nickel,Refining,Canada,2024,113.1
Nickel,Refining,Canada,2030,127.8
Nickel,Refining,Canada,2035,84.1
Nickel,Refining,Canada,2040,84.1
Nickel,Mining,Rest of world,2024,629
Nickel,Mining,Rest of world,2030,601.8000000000006
Nickel,Mining,Rest of world,2035,452.7999999999993
Nickel,Mining,Rest of world,2040,443.0000000000009
Nickel,Refining,Rest of world,2024,631.4200000000001
Nickel,Refining,Rest of world,2030,719.9699999999998
Nickel,Refining,Rest of world,2035,636.8699999999994
Nickel,Refining,Rest of world,2040,636.8699999999994
Graphite,Mining (natural),China,2024,1580
Graphite,Mining (natural),China,2030,1260.521136084379
Graphite,Mining (natural),China,2035,1388.7449879940375
Graphite,Mining (natural),China,2040,1435.6399622827405
Graphite,Battery grade,China,2024,1794.824456364271
Graphite,Battery grade,China,2030,3854.369306018856
Graphite,Battery grade,China,2035,3810.606747357479
Graphite,Battery grade,China,2040,3810.945518031618
Graphite,Mining (natural),Mozambique,2024,37.9
Graphite,Mining (natural),Mozambique,2030,209.7683688739245
Graphite,Mining (natural),Mozambique,2035,260.82517789058863
Graphite,Mining (natural),Mozambique,2040,289.26987104831875
Graphite,Battery grade,Japan,2024,44.96532260435326
Graphite,Battery grade,Japan,2030,158.60252017969003
Graphite,Battery grade,Japan,2035,181.32054423960827
Graphite,Battery grade,Japan,2040,186.5986587876757
Graphite,Mining (natural),Madagascar,2024,72.98249739130435
Graphite,Mining (natural),Madagascar,2030,238.5624606225776
Graphite,Mining (natural),Madagascar,2035,205.13896
Graphite,Mining (natural),Madagascar,2040,223.13896
Graphite,Battery grade,United States,2024,1.1086758937757204
Graphite,Battery grade,United States,2030,32.02385459210982
Graphite,Battery grade,United States,2035,46.11812193034048
Graphite,Battery grade,United States,2040,52.27853227255787
Graphite,Mining (natural),Brazil,2024,68.74157694733334
Graphite,Mining (natural),Brazil,2030,98.95434690662566
Graphite,Mining (natural),Brazil,2035,87.75396616064887
Graphite,Mining (natural),Brazil,2040,87.41821697578042
Graphite,Battery grade,Canada,2024,0
Graphite,Battery grade,Canada,2030,9.2942788906712
Graphite,Battery grade,Canada,2035,20.71857710512005
Graphite,Battery grade,Canada,2040,29.227457529805267
Graphite,Mining (natural),Russia,2024,29.6
Graphite,Mining (natural),Russia,2030,33
Graphite,Mining (natural),Russia,2035,51
Graphite,Mining (natural),Russia,2040,49.6
Graphite,Battery grade,Sweden,2024,0
Graphite,Battery grade,Sweden,2030,0.7165442852000379
Graphite,Battery grade,Sweden,2035,3.155721922696114
Graphite,Battery grade,Sweden,2040,3.546541682597089
Graphite,Mining (natural),Tanzania,2024,9.059353306451612
Graphite,Mining (natural),Tanzania,2030,32.46488331311328
Graphite,Mining (natural),Tanzania,2035,36.78554754817787
Graphite,Mining (natural),Tanzania,2040,38.52192560046399
Graphite,Battery grade,Germany,2024,0
Graphite,Battery grade,Germany,2030,43.44924916404202
Graphite,Battery grade,Germany,2035,49.61800167103586
Graphite,Battery grade,Germany,2040,52.10002175645168
Graphite,Mining (natural),Rest of world,2024,58.01135330645093
Graphite,Mining (natural),Rest of world,2030,150.1227313069403
Graphite,Mining (natural),Rest of world,2035,170.7573300817055
Graphite,Mining (natural),Rest of world,2040,178.5294334987766
Graphite,Battery grade,Rest of world,2024,34.354032658313145
Graphite,Battery grade,Rest of world,2030,372.09405443811056
Graphite,Battery grade,Rest of world,2035,406.35748311541647
Graphite,Battery grade,Rest of world,2040,407.46688524895853
Magnet rare earth elements,Mining,China,2024,45.78735
Magnet rare earth elements,Mining,China,2030,51.224637300063286
Magnet rare earth elements,Mining,China,2035,56.83961908867783
Magnet rare earth elements,Mining,China,2040,56.83961908867783
Magnet rare earth elements,Refining,China,2024,73.75667016860831
Magnet rare earth elements,Refining,China,2030,81.12665123569371
Magnet rare earth elements,Refining,China,2035,86.4447019468462
Magnet rare earth elements,Refining,China,2040,86.4447019468462
